Imaginary,Real
0.361409,-0.29928
0.355021,-0.307123
0.348463,-0.314835
0.341736,-0.322414
0.334844,-0.329856
0.327789,-0.337156
0.320573,-0.344312
0.3132,-0.351319
0.305671,-0.358175
0.297991,-0.364876
0.290162,-0.371419
0.282187,-0.3778
0.274069,-0.384016
0.265811,-0.390064
0.257417,-0.395941
0.24889,-0.401643
0.240233,-0.407169
0.23145,-0.412513
0.222545,-0.417675
0.21352,-0.42265
0.20438,-0.427437
0.195128,-0.432032
0.185768,-0.436432
0.176304,-0.440636
0.166739,-0.44464
0.157079,-0.448443
0.147326,-0.452041
0.137486,-0.455432
0.127561,-0.458615
0.117557,-0.461587
0.107477,-0.464345
0.0973266,-0.466889
0.0871091,-0.469215
0.0768293,-0.471323
0.0664917,-0.47321
0.0561008,-0.474875
0.0456612,-0.476316
0.0351775,-0.477531
0.0246545,-0.47852
0.0140967,-0.479281
0.00350908,-0.479812
-0.0071037,-0.480112
-0.0177367,-0.480181
-0.0283852,-0.480018
-0.0390441,-0.479621
-0.0497085,-0.47899
-0.0603734,-0.478124
-0.0710338,-0.477023
-0.0816847,-0.475686
-0.0923209,-0.474112
-0.102937,-0.472302
-0.113529,-0.470256
-0.124091,-0.467972
-0.134617,-0.465453
-0.145103,-0.462696
-0.155544,-0.459704
-0.165933,-0.456475
-0.176267,-0.453011
-0.186539,-0.449313
-0.196745,-0.44538
-0.206879,-0.441215
-0.216936,-0.436817
-0.22691,-0.432188
-0.236797,-0.427329
-0.24659,-0.422241
-0.256286,-0.416925
-0.265878,-0.411384
-0.275362,-0.405619
-0.284731,-0.399631
-0.293982,-0.393423
-0.303108,-0.386996
-0.312105,-0.380353
-0.320966,-0.373496
-0.329688,-0.366427
-0.338266,-0.359148
-0.346693,-0.351663
-0.354965,-0.343974
-0.363076,-0.336084
-0.371023,-0.327995
-0.3788,-0.319712
-0.386402,-0.311237
-0.393824,-0.302573
-0.401062,-0.293724
-0.408111,-0.284694
-0.414965,-0.275486
-0.421621,-0.266104
-0.428074,-0.256552
-0.43432,-0.246834
-0.440354,-0.236955
-0.446171,-0.226918
-0.451768,-0.216728
-0.45714,-0.206389
-0.462283,-0.195907
-0.467193,-0.185286
-0.471866,-0.174531
-0.476299,-0.163646
-0.480487,-0.152638
-0.484428,-0.14151
-0.488116,-0.13027
-0.49155,-0.118921
-0.494725,-0.107469
-0.497639,-0.0959205
-0.500287,-0.0842809
-0.502668,-0.0725559
-0.504779,-0.0607515
-0.506616,-0.0488738
-0.508176,-0.0369288
-0.509459,-0.0249229
-0.51046,-0.0128622
-0.511178,-0.000753298
-0.51161,0.0113974
-0.511756,0.0235834
-0.511612,0.0357978
-0.511177,0.0480342
-0.51045,0.0602855
-0.50943,0.072545
-0.508114,0.0848057
-0.506502,0.0970605
-0.504594,0.109302
-0.502387,0.121524
-0.499883,0.133719
-0.49708,0.145879
-0.493978,0.157998
-0.490577,0.170067
-0.486877,0.18208
-0.482879,0.194029
-0.478582,0.205907
-0.473989,0.217706
-0.469098,0.229418
-0.463913,0.241037
-0.458433,0.252554
-0.45266,0.263963
-0.446595,0.275255
-0.440242,0.286423
-0.4336,0.29746
-0.426674,0.308357
-0.419464,0.319108
-0.411975,0.329705
-0.404207,0.34014
-0.396165,0.350406
-0.387852,0.360496
-0.379271,0.370402
-0.370425,0.380117
-0.361318,0.389634
-0.351956,0.398944
-0.34234,0.408042
-0.332477,0.41692
-0.32237,0.425571
-0.312025,0.433989
-0.301446,0.442165
-0.290638,0.450094
-0.279608,0.457769
-0.26836,0.465183
-0.256901,0.472329
-0.245237,0.479203
-0.233373,0.485796
-0.221316,0.492103
-0.209073,0.498119
-0.196651,0.503837
-0.184056,0.509251
-0.171295,0.514357
-0.158377,0.519148
-0.145308,0.52362
-0.132096,0.527767
-0.11875,0.531585
-0.105276,0.535069
-0.0916841,0.538214
-0.0779816,0.541016
-0.0641774,0.543472
-0.0502801,0.545576
-0.0362985,0.547326
-0.0222417,0.548718
-0.00811872,0.549748
0.00606118,0.550415
0.0202886,0.550714
0.0345541,0.550643
0.048848,0.550201
0.0631605,0.549384
0.0774819,0.548192
0.0918022,0.546623
0.106111,0.544674
0.120399,0.542346
0.134656,0.539638
0.14887,0.536548
0.163033,0.533078
0.177133,0.529226
0.191161,0.524994
0.205105,0.520382
0.218955,0.515391
0.232701,0.510022
0.246331,0.504277
0.259837,0.498157
0.273206,0.491665
0.286428,0.484803
0.299494,0.477575
0.312391,0.469982
0.325111,0.462029
0.337641,0.453719
0.349973,0.445056
0.362095,0.436045
0.373998,0.42669
0.385672,0.416996
0.397105,0.406968
0.408289,0.396612
0.419213,0.385933
0.429868,0.374939
0.440244,0.363635
0.450331,0.352028
0.460121,0.340125
0.469604,0.327934
0.478772,0.315462
0.487615,0.302718
0.496125,0.289709
0.504294,0.276444
0.512112,0.262932
0.519574,0.249182
0.52667,0.235204
0.533393,0.221006
0.539736,0.2066
0.545693,0.191994
0.551255,0.1772
0.556418,0.162228
0.561174,0.147089
0.565519,0.131794
0.569445,0.116355
0.572949,0.100782
0.576026,0.0850871
0.57867,0.069283
0.580877,0.0533814
0.582644,0.0373945
0.583967,0.0213346
0.584843,0.00521439
0.585269,-0.0109535
0.585243,-0.0271563
0.584762,-0.0433809
0.583824,-0.0596145
0.58243,-0.0758437
0.580576,-0.0920555
0.578264,-0.108236
0.575493,-0.124373
0.572263,-0.140453
